id_tps	name	sex	set	nat	age	weight	height	attractiveness	fem_masc	L	a	b 	R1	L1	R2	L2	R3	L3	laterality
128F]	128F	F	CMR16	CMR	21	50.7	160	3.510204082	4.787234043	38.004	11.846	10.93	284.3436	200.4591	208.5213	212.987	232.2267	172.0475	R
129F]	129F	F	CMR16	CMR	21	66.3	160	2.87755102	4.159574468	39.36366667	11.57633333	9.115	250.1293	196.4347	185.6984	199.7906	186.3669	148.5694	R
130F]	130F	F	CMR16	CMR	19	42.8	154	2.836734694	4.585106383	39.27066667	11.576	9.964	170.7105	118.1389	252.5894	182.7971	207.8394	139.1702	R
131F]	131F	F	CMR16	CMR	21	43.5	152	3.244897959	5.212765957	54.44	15.904	18.391	170.4832	189.0543	173.3979	191.9557	171.379	187.7173	R
132F]	132F	F	CMR16	CMR	22	93.9	164	2.367346939	4.255319149	40.07333333	12.852	12.018	188.6131	302.9148	270.4787	272.9388	248.5516	249.0062	R
133F]	133F	F	CMR16	CMR	22	59.1	154.5	2.816326531	4.138297872	41.30733333	13.87666667	14.668	126.8696	158.1826	142.0715	126.6423	136.2555	111.8817	R
134F]	134F	F	CMR16	CMR	14	59.6	164	3.693877551	4.436170213	44.20466667	13.72	14.97966667	314.5468	264.6627	318.5713	242.7356	289.9457	215.9017	R
135F]	135F	F	CMR16	CMR	21	57.5	145.5	3.12244898	4.223404255	39.4	12.45033333	13.06333333	256.6139	250.3432	251.4663	151.0295	239.1658	224.1778	R
136F]	136F	F	CMR16	CMR	25	94.4	169	2.93877551	4.542553191	38.325	12.15433333	12.285	351.0073	208.294	357.9465	279.878	358.3877	258.6194	R
143F]	143F	F	CMR16	CMR	21	65.3	170	3.326530612	4.893617021	38.221	12.36733333	11.78933333	230.435	275.8535	233.5637	195.5389	218.5757	222.1589	D 
144F]	144F	F	CMR16	CMR	20	53.9	163	2.836734694	4.606382979	37.84433333	11.78466667	9.350333333	179.6551	169.8147	283.9024	237.8154	282.5654	233.1225	R
145F]	145F	F	CMR16	CMR	19	52.3	162	2.714285714	3.978723404	40.635	12.09066667	11.21033333	163.5574	164.4532	187.7173	188.3858	213.8828	210.5268	R
146F]	146F	F	CMR16	CMR	21	62.9	156	3.612244898	5.510638298	49.11633333	15.51266667	16.11366667	74.7393	66.2492	76.9855	75.4212	93.5378	67.359	R
147F]	147F	F	CMR16	CMR	24	51.3	153	3.306122449	4.457446809	37.465	11.10633333	9.348666667	209.631	236.9196	244.086	213.6555	215.6744	225.9694	D
148F]	148F	F	CMR16	CMR	23	52.4	157	2.673469388	4.276595745	36.16	10.57966667	7.962333333	264.89	268.2459	227.3064	265.1173	226.4106	218.3618	D
